quaternions_10	quaternions_11	quaternions_12	quaternions_13	angle_10	angle_11	angle_12	rotacc_1	speed	id	pos_x	pos_y	normalized_x	normalized_y	orientation_x	orientation_y	speed1	tracking	Pharusbin	Gyroid	comp_index	SOUND1	SOUND2	SOUND3	SOUND4	SOUND5	SOUND6	SOUND7	SOUND8
0.8144331	0.41190976	0.009972487	0.40804926	0.12572807	0.44809937	0.62042856	0.0144224195	0.014422418	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.8145053	0.41178942	0.009871986	0.4080707	0.12573278	0.44809282	0.6203584	0.014418142	0.01441814	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.814556	0.41171014	0.009782243	0.40809318	0.12573712	0.44808364	0.6203033	0.014408151	0.014408149	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.81458986	0.41166133	0.00971319	0.40811676	0.12574229	0.44807515	0.62026113	0.014393035	0.0143930325	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.8145636	0.4117202	0.009681392	0.40815425	0.12575114	0.44806093	0.62025654	0.014386475	0.014386473	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.81449294	0.41184548	0.009690323	0.40821043	0.12576696	0.44804534	0.62027806	0.014376801	0.0143768005	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.81439334	0.4120289	0.009749068	0.4082635	0.12578364	0.4480344	0.62032574	0.014368507	0.014368507	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.8142868	0.41224924	0.009831275	0.40828985	0.12579182	0.4480275	0.62039196	0.014381632	0.014381633	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.81417763	0.41252196	0.0098853335	0.40826526	0.12577787	0.44801277	0.6204783	0.01440141	0.014401411	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.8140514	0.41282177	0.009940133	0.4082383	0.12576146	0.44799343	0.6205772	0.014405115	0.0144051155	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8125	0	0	0	0	0	0	0
0.8139118	0.4131149	0.010025906	0.40823483	0.1257557	0.4479782	0.62067896	0.014387647	0.014387648	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8137625	0.41339943	0.01015171	0.40825254	0.12576103	0.44797078	0.62078315	0.014382958	0.014382959	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8136016	0.41369754	0.01028257	0.40828767	0.12577273	0.44796214	0.62088794	0.014378291	0.014378292	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8134606	0.41399717	0.010422293	0.4082827	0.12577242	0.44796282	0.6209944	0.014387872	0.014387873	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.81331813	0.4142752	0.010552799	0.4083017	0.12578024	0.4479608	0.62109184	0.014389238	0.014389239	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8131613	0.41456378	0.010667195	0.40833828	0.12579183	0.4479505	0.62119025	0.014404166	0.0144041665	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8130227	0.4148498	0.010777215	0.40834197	0.12579212	0.44794393	0.62128913	0.01440571	0.014405711	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8128833	0.41511482	0.010891446	0.40836492	0.12580006	0.44793814	0.6213813	0.014388645	0.014388646	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.81275976	0.4153592	0.011030363	0.4083749	0.12580685	0.44794288	0.6214705	0.014382215	0.014382217	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.81254685	0.41577467	0.011223875	0.40839657	0.12581596	0.44793934	0.6216173	0.014368657	0.014368659	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8122837	0.41631353	0.011433702	0.4084024	0.12581658	0.4479279	0.62180376	0.014382391	0.014382392	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8119669	0.41696006	0.011693519	0.40841222	0.12581928	0.44791633	0.6220267	0.014360612	0.014360613	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.81640625	0	0	0	0	0	0	0
0.8115808	0.41772765	0.012037836	0.408441	0.12583181	0.44790936	0.62229216	0.014350128	0.014350129	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.8108589	0.4191627	0.012666617	0.40848592	0.12585042	0.44789252	0.6227907	0.014356927	0.014356928	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.81047446	0.41997185	0.012980515	0.4084728	0.12584455	0.44787917	0.62306964	0.014376286	0.014376288	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.8100815	0.4208037	0.013310812	0.4084523	0.12583682	0.44786796	0.6233586	0.014385665	0.014385666	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.8096233	0.42170584	0.01369449	0.40847805	0.12584682	0.44785455	0.6236718	0.014384386	0.014384387	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
0.80915654	0.42262506	0.014123503	0.4084974	0.12585787	0.44784963	0.6239967	0.014398945	0.014398946	10	1.21986	1.29745	0.179128	0.640595	0.993748	0.111643	0	1	2	2	2	0.8203125	0	0	0	0	0	0	0
